Year,State,<1,1-4,5-9,10-14,15-19,20-24,25-44,45-49,50-59,60-64,65+,Total
2007,Durango,0.0,0.0,0.0,0.0,1.27,0.0,9.31,26.79,17.21,19.22,19.29,10.36
2007,Guanajuato,0.0,0.0,0.0,0.0,0.0,0.41,6.89,21.52,18.77,25.49,16.82,8.71
2007,Guerrero,0.0,0.77,0.0,0.0,0.0,0.68,3.5,6.37,13.95,9.28,2.94,4.13
2007,Hidalgo,0.0,0.0,0.0,0.0,0.0,0.89,1.89,6.02,6.37,5.96,1.32,2.39
2007,Jalisco,0.0,0.0,0.0,0.29,0.88,2.47,19.72,95.03,75.14,139.08,75.26,36.17
2007,México,0.0,0.0,0.0,0.0,0.0,0.45,2.76,12.33,15.95,21.34,7.19,5.16
2007,Michoacán,0.0,0.0,0.0,0.0,1.85,1.55,7.16,21.51,32.77,30.06,31.23,12.64
2007,Morelos,0.0,0.0,0.0,0.0,1.25,1.34,2.34,8.24,14.28,24.74,19.14,6.38
2007,Nayarit,0.0,0.0,0.0,0.0,0.0,0.0,19.89,41.52,22.96,35.51,28.13,18.03
2007,Nuevo León,0.0,0.0,0.0,1.54,1.06,6.83,20.15,91.97,86.39,127.9,56.53,36.61
2007,Oaxaca,0.0,0.0,0.0,0.48,0.0,1.2,17.4,38.59,32.08,13.09,23.27,16.27
2007,Puebla,0.0,0.0,0.0,0.0,0.34,0.0,11.99,48.56,31.11,40.85,40.75,16.87
2007,Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,10.15,39.17,57.62,21.53,61.36,17.82
2007,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,1.47,17.8,32.32,0.0,6.13,4.8
2007,San Luis Potosí,0.0,0.0,0.0,0.0,0.0,3.54,25.36,101.57,110.11,79.81,75.95,40.29
2007,Sinaloa,0.0,0.0,0.0,0.0,0.78,0.0,16.01,72.12,66.0,67.57,82.76,29.83
2007,Sonora,0.0,0.0,0.0,0.0,0.0,2.87,4.01,20.07,34.95,24.51,11.46,9.53
2007,Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,3.75,9.53,14.33,26.72,12.84,5.41
2007,Tamaulipas,0.0,0.0,0.0,0.0,0.0,0.72,9.41,41.55,58.33,52.28,33.4,18.57
2007,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,4.02,3.53,15.74,23.31,12.67,5.31
2007,Veracruz,0.0,0.0,0.0,0.27,0.55,1.52,25.24,69.78,67.96,72.28,51.24,31.93
2007,Yucatán,0.0,0.0,0.0,0.0,0.0,0.0,13.05,25.93,62.86,48.43,58.44,21.47
2007,Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,4.91,27.63,31.29,20.78,16.28,9.64
2007,TOTAL GLOBAL,0.0,0.03,0.0,0.22,0.46,1.31,12.06,43.6,46.89,55.74,38.78,13.64
2008,Aguascalientes,0.0,0.0,0.0,0.0,0.0,0.0,10.86,42.46,43.24,7.43,62.23,17.27
2008,Baja California,0.0,0.0,0.0,0.71,1.45,0.74,13.68,37.11,56.46,57.79,36.71,19.72
2008,Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,13.57,19.95,40.69,100.08,59.68,19.08
2008,Campeche,0.0,0.0,0.0,0.0,0.0,0.0,7.23,33.25,27.25,31.37,35.43,12.01
2008,Coahuila,0.0,0.0,0.0,3.91,2.49,5.38,13.53,49.81,55.74,84.88,47.88,25.08
2008,Colima,0.0,0.0,0.0,0.0,0.0,0.0,4.28,45.99,53.22,49.5,61.31,18.48
